apartment_id,building,apartment,floor,type,profile_key,segment,rooms,area_m2,balcony_m2,directions,park_view,market_balcony_coef,effective_market_area_m2,current_segment_rate_ils,current_unadjusted_value_ils,quality_adjustment_pct,current_market_value_ils,sale_value_low_ils,sale_value_base_ils,sale_value_high_ils,net_contract_price_ils,estimated_index_addition_ils,estimated_total_cost_ils,profit_low_ils,profit_base_ils,profit_high_ils,roi_base_pct,analysis_confidence,rank_low,rank_base,rank_high,best_rank,worst_rank,rank_spread,priority_group
3-1,3,1,0,3G1,3G-1,דירת גן 3 חדרים,3,77.22,0.0,מערב - צפון,none,0.0,77.22,28500,2450770,-3.72,2359601,2046303,2495634,3020923,1095039,24256,1119295,927008,1376339,1901628,123.0,נמוכה,76,62,48,48,76,28,D
1-4,1,4,1,1C,1C,3 חדרים קומפקטית,3,79.72,13.6,מזרח - דרום,partial,0.55,87.2,28500,2485200,-1.67,2443697,2178485,2584578,3049752,1188348,26323,1214671,963814,1369907,1835081,112.8,בינונית,66,63,61,61,66,5,D
1-30,1,30,6,1D,1D,3 חדרים קומפקטית,3,78.78,7.4,דרום,none,0.5,82.48,28500,2350680,2.29,2404511,2167219,2543132,2969357,1148642,25443,1174085,993133,1369047,1795272,116.6,בינונית-גבוהה,54,64,67,54,67,13,D
2-5,2,5,1,2E,2E,3 חדרים קומפקטית,3,79.9,13.83,מערב - דרום,none,0.55,87.51,28500,2493935,-1.96,2445054,2202339,2586013,3021316,1191879,26401,1218280,984059,1367733,1803036,112.3,בינונית-גבוהה,57,65,65,57,65,8,D
3-9,3,9,2,3A,3A,3 חדרים קומפקטית,3,79.97,13.5,מערב - צפון,none,0.55,87.39,28500,2490758,-1.86,2444429,2201811,2585352,3020498,1191468,26392,1217860,983952,1367492,1802638,112.3,בינונית-גבוהה,58,66,66,58,66,8,D
1-7,1,7,2,1A,1A,3 חדרים גדולה,3,87.77,21.67,מערב - צפון,none,0.3,94.27,28000,2639588,-1.18,2608441,2349795,2758819,3222827,1371044,30370,1401414,948382,1357405,1821414,96.9,בינונית-גבוהה,72,67,64,64,72,8,D
1-25,1,25,5,1D,1D,3 חדרים קומפקטית,3,78.78,7.4,דרום,none,0.5,82.48,28500,2350680,1.79,2392757,2156467,2530701,2955052,1148642,25443,1174085,982382,1356616,1780967,115.5,בינונית-גבוהה,59,68,69,59,69,10,D
3-4,3,4,1,3A,3A,3 חדרים קומפקטית,3,79.97,13.5,מערב - צפון,none,0.55,87.39,28500,2490758,-2.72,2423009,2182218,2562697,2994428,1191468,26392,1217860,964358,1344837,1776568,110.4,בינונית-גבוהה,65,69,70,65,70,5,D
1-20,1,20,4,1D,1D,3 חדרים קומפקטית,3,78.78,7.4,דרום,none,0.5,82.48,28500,2350680,1.21,2379123,2143996,2516281,2938459,1148642,25443,1174085,969911,1342196,1764374,114.3,בינונית-גבוהה,63,70,71,63,71,8,D
2-19,2,19,4,2D,2D,3 חדרים קומפקטית,3,78.65,7.35,דרום,none,0.5,82.33,28500,2346262,1.01,2369960,2135675,2506589,2927226,1146586,25398,1171984,963691,1334606,1755242,113.9,בינונית-גבוהה,67,71,72,67,72,5,D
1-2,1,2,1,1A,1A,3 חדרים גדולה,3,87.77,21.67,מערב - צפון,none,0.3,94.27,28000,2639588,-2.01,2586532,2329755,2735647,3196163,1371044,30370,1401414,928341,1334234,1794750,95.2,בינונית-גבוהה,75,72,68,68,75,7,D
